id,text,intent,secondary_intent,should_escalate,escalation_reason_code,sentiment,notes,annotator,label_source,scenario_setup
vc_068,plrn zz% -- mmm// 8q? [   ] :: vlop!,,,,,,,,,{}
vc_069,"Please combine the followers, saved albums and subscription history from my two Spotify accounts into one account while I wait here. I need the records moved, not general instructions.",,,,,,,,,{}
vc_070,"I've finished recording an EP. Can you take the audio files from my laptop, distribute them on Spotify and make the release appear next Friday under my artist name?",,,,,,,,,{}
vc_071,"I'm following a printed Spotify tutorial dated 2016, and its picture of the settings menu doesn't resemble my current phone app. What's the up-to-date way to find playback settings?",,,,,,,,,{}
vc_072,An archived promotion mentions a streaming-video bundle with Spotify. I haven't subscribed or paid; where can I verify whether that offer is still advertised in the US today?,,,,,,,,,{}
vc_073,"A friend sent an undated screenshot of several plan prices in pounds. Before using it for my budget, I want a current official source for the UK prices rather than relying on the image.",,,,,,,,,{}
vc_074,I'm writing a help sheet for my parents and have an old printout about password resets. Nobody is locked out right now. Where are the current public reset instructions so I can replace the printout?,,,,,,,,,{}
vc_075,A years-old forum post says there is a particular length of free trial for all new listeners. I haven't accepted any offer; could you point me to the current advertised trial terms for Australia?,,,,,,,,,{}
vc_076,"Before I relocate, I want to read the current rules for changing an account's country. The only instructions I saved are from a much older app layout, and I don't want to assume they still apply.",,,,,,,,,{}
vc_077,The instructions in my car's old handbook show a Spotify integration I can't find on the dashboard. How can I check which listening methods are supported for my car now?,,,,,,,,,{}
vc_078,The official help page I bookmarked for clearing storage now opens an error page. I want current Android instructions before removing anything; an old cached copy is all I can find.,,,,,,,,,{}
vc_079,"I found an old announcement about countries where Spotify was available. I'm currently in Nepal and want a present-day official availability list, not the list from that announcement.",,,,,,,,,{}
vc_080,A note I saved in 2018 tells me how to change the picture on a playlist I own. The controls have moved since then. Can you show me the currently documented method for the desktop app?,,,,,,,,,{}
